product_id,product_name,jumlah_penjualan,harga,diskon,status
P00001,Produk 1,198,94077,13,Laris
P00002,Produk 2,212,127712,9,Tidak
P00003,Produk 3,198,145500,12,Tidak
P00004,Produk 4,146,104471,11,Tidak
P00005,Produk 5,126,63086,7,Tidak
P00006,Produk 6,184,127983,15,Laris
P00007,Produk 7,155,113855,12,Laris
P00008,Produk 8,164,100943,15,Laris
P00009,Produk 9,150,78579,21,Laris
P00010,Produk 10,207,105995,12,Laris
P00011,Produk 11,224,186078,4,Tidak
P00012,Produk 12,140,60094,23,Laris
P00013,Produk 13,126,41108,9,Tidak
P00014,Produk 14,143,133343,15,Laris
P00015,Produk 15,187,108419,13,Laris
P00016,Produk 16,149,141708,10,Tidak
P00017,Produk 17,159,99702,15,Laris
P00018,Produk 18,191,101867,14,Laris
P00019,Produk 19,204,120749,13,Laris
P00020,Produk 20,167,141024,7,Tidak
P00021,Produk 21,153,93950,20,Laris
P00022,Produk 22,154,126359,10,Tidak
P00023,Produk 23,125,149749,14,Laris
P00024,Produk 24,252,139172,6,Tidak
P00025,Produk 25,118,73604,9,Tidak
P00026,Produk 26,125,67411,11,Tidak
P00027,Produk 27,127,74986,13,Tidak
P00028,Produk 28,214,102267,12,Laris
P00029,Produk 29,190,100569,13,Laris
P00030,Produk 30,178,140811,12,Laris
P00031,Produk 31,164,106744,11,Tidak
P00032,Produk 32,154,114991,8,Tidak
P00033,Produk 33,176,85295,11,Tidak
P00034,Produk 34,187,93931,4,Tidak
P00035,Produk 35,195,100156,16,Laris
P00036,Produk 36,146,136172,8,Tidak
P00037,Produk 37,129,131009,8,Tidak
P00038,Produk 38,133,121190,6,Tidak
P00039,Produk 39,105,120568,19,Laris
P00040,Produk 40,168,80878,7,Laris
P00041,Produk 41,221,95236,13,Laris
P00042,Produk 42,163,73513,18,Laris
P00043,Produk 43,239,122482,11,Tidak
P00044,Produk 44,130,79954,23,Laris
P00045,Produk 45,181,101382,12,Tidak
P00046,Produk 46,206,125920,11,Laris
P00047,Produk 47,159,63345,22,Laris
P00048,Produk 48,178,154106,4,Tidak
P00049,Produk 49,118,56365,10,Tidak
P00050,Produk 50,223,146905,7,Laris
P00051,Produk 51,128,76800,10,Tidak
P00052,Produk 52,166,125957,15,Laris
P00053,Produk 53,218,97368,7,Tidak
P00054,Produk 54,162,94300,19,Tidak
P00055,Produk 55,165,119369,14,Laris
P00056,Produk 56,182,113153,10,Tidak
P00057,Produk 57,123,99544,10,Tidak
P00058,Produk 58,171,86279,17,Laris
P00059,Produk 59,193,105143,10,Laris
P00060,Produk 60,100,84672,13,Laris
P00061,Produk 61,155,96002,8,Tidak
P00062,Produk 62,127,54291,13,Tidak
P00063,Produk 63,166,105096,14,Tidak
P00064,Produk 64,142,130258,17,Laris
P00065,Produk 65,179,103547,18,Laris
P00066,Produk 66,140,116065,12,Tidak
P00067,Produk 67,163,93904,16,Laris
P00068,Produk 68,219,146649,6,Tidak
P00069,Produk 69,218,99094,11,Laris
P00070,Produk 70,223,137569,6,Tidak
P00071,Produk 71,180,138041,4,Tidak
P00072,Produk 72,174,100635,16,Laris
P00073,Produk 73,201,157211,11,Laris
P00074,Produk 74,125,116634,17,Laris
P00075,Produk 75,180,138273,11,Laris
P00076,Produk 76,192,89704,17,Laris
P00077,Produk 77,205,100725,14,Laris
P00078,Produk 78,219,70790,16,Laris
P00079,Produk 79,163,82723,20,Laris
P00080,Produk 80,139,99784,19,Laris
P00081,Produk 81,106,56360,11,Tidak
P00082,Produk 82,103,86518,11,Tidak
P00083,Produk 83,219,166930,11,Tidak
P00084,Produk 84,155,83565,17,Laris
P00085,Produk 85,161,156738,11,Laris
P00086,Produk 86,205,143378,11,Tidak
P00087,Produk 87,70,40330,9,Tidak
P00088,Produk 88,177,97746,19,Laris
P00089,Produk 89,190,142506,11,Tidak
P00090,Produk 90,165,101746,17,Laris
P00091,Produk 91,192,79278,19,Laris
P00092,Produk 92,219,178700,8,Laris
P00093,Produk 93,143,127366,14,Laris
P00094,Produk 94,161,112559,15,Laris
P00095,Produk 95,188,104879,10,Tidak
P00096,Produk 96,186,125514,6,Tidak
P00097,Produk 97,151,118362,7,Tidak
P00098,Produk 98,162,71433,20,Laris
P00099,Produk 99,119,77669,10,Tidak
P00100,Produk 100,134,73336,15,Tidak
P00101,Produk 101,214,89930,13,Tidak
P00102,Produk 102,192,87218,18,Laris
P00103,Produk 103,206,98142,10,Tidak
P00104,Produk 104,151,139896,13,Laris
P00105,Produk 105,178,123085,14,Tidak
P00106,Produk 106,164,103104,8,Tidak
P00107,Produk 107,192,88886,14,Laris
P00108,Produk 108,136,108973,12,Tidak
P00109,Produk 109,224,144464,9,Laris
P00110,Produk 110,162,158338,9,Tidak
P00111,Produk 111,183,80733,13,Tidak
P00112,Produk 112,194,116066,9,Tidak
P00113,Produk 113,185,137946,9,Tidak
P00114,Produk 114,162,103041,18,Laris
P00115,Produk 115,134,142036,14,Laris
P00116,Produk 116,78,79605,15,Tidak
P00117,Produk 117,169,113118,10,Tidak
P00118,Produk 118,129,92683,23,Laris
P00119,Produk 119,144,91766,9,Tidak
P00120,Produk 120,119,98668,22,Laris
P00121,Produk 121,170,76495,11,Tidak
P00122,Produk 122,205,140714,6,Tidak
P00123,Produk 123,176,135891,10,Tidak
P00124,Produk 124,192,143491,10,Laris
P00125,Produk 125,104,99272,10,Tidak
P00126,Produk 126,164,70492,22,Laris
P00127,Produk 127,128,136107,6,Tidak
P00128,Produk 128,111,74459,11,Tidak
P00129,Produk 129,171,88502,5,Tidak
P00130,Produk 130,153,130866,15,Laris
P00131,Produk 131,181,79634,18,Laris
P00132,Produk 132,159,95976,15,Laris
P00133,Produk 133,132,84265,24,Laris
P00134,Produk 134,204,81807,16,Laris
P00135,Produk 135,166,104881,17,Laris
P00136,Produk 136,157,94698,18,Laris
P00137,Produk 137,153,78997,22,Laris
P00138,Produk 138,192,82620,19,Laris
P00139,Produk 139,201,135519,7,Tidak
P00140,Produk 140,222,92384,7,Tidak
P00141,Produk 141,169,93193,16,Laris
P00142,Produk 142,146,94840,11,Tidak
P00143,Produk 143,125,93942,19,Laris
P00144,Produk 144,155,110290,8,Tidak
P00145,Produk 145,167,96155,11,Tidak
P00146,Produk 146,204,164931,10,Tidak
P00147,Produk 147,155,93032,15,Tidak
P00148,Produk 148,176,122974,15,Laris
P00149,Produk 149,220,71417,17,Laris
P00150,Produk 150,226,61472,15,Laris
P00151,Produk 151,148,75067,9,Tidak
P00152,Produk 152,159,84334,20,Laris
P00153,Produk 153,194,103875,11,Laris
P00154,Produk 154,217,109851,7,Tidak
P00155,Produk 155,207,99262,13,Laris
P00156,Produk 156,240,136947,8,Tidak
P00157,Produk 157,255,142608,7,Tidak
P00158,Produk 158,135,107688,19,Laris
